Week,Popularity
2020-03,37.6
2020-04,42.5
2020-05,30.6
2020-06,38.25
2020-07,50.0
2020-08,33.0
2020-09,28.0
2020-10,34.0
2020-11,48.8
2020-12,53.25
2021-01,53.2
2021-02,43.75
2021-03,48.0
2021-04,39.25
2021-05,26.0
2021-06,18.25
2021-07,28.25
2021-08,54.6
2021-09,37.0
2021-10,26.4
2021-11,30.5
2021-12,59.5
2022-01,64.0
2022-02,19.5
2022-03,14.25
2022-04,14.0
2022-05,17.8
2022-06,16.75
2022-07,18.6
2022-08,13.5
2022-09,12.0
