CRASH_DATE,LATITUDE,LONGITUDE,LIGHTING_CONDITION,INJURIES_FATAL
2020-10-19 12:38:00,41.831972522,-87.684778415,DAYLIGHT,1.0
2018-09-23 17:20:00,41.997237289,-87.711797783,DAYLIGHT,1.0
2017-08-20 18:55:00,41.840669612,-87.724968866,DAYLIGHT,1.0
2017-12-09 08:25:00,41.757995325,-87.60552087399999,DAYLIGHT,1.0
2018-06-08 08:20:00,41.885020286999996,-87.721062198,DAYLIGHT,1.0
2021-11-15 11:36:00,41.736957632,-87.55987498100001,DAYLIGHT,2.0
2021-08-13 19:50:00,41.866362664,-87.69932697700001,DAYLIGHT,1.0
2020-10-23 13:09:00,41.974870615,-87.783117474,DAYLIGHT,1.0
2018-08-18 09:00:00,41.883143874,-87.683666268,DAYLIGHT,1.0
2018-01-13 15:00:00,41.940532035,-87.63870787399999,DAYLIGHT,1.0
2018-02-11 17:07:00,41.803227848,-87.65160699,DAYLIGHT,1.0
2020-06-21 19:04:00,41.739661416,-87.64387095200001,DAYLIGHT,1.0
2021-09-12 10:38:00,41.871765745,-87.719561356,DAYLIGHT,1.0
2020-04-19 15:30:00,41.738140867,-87.740826883,DAYLIGHT,1.0
2019-08-03 15:10:00,41.72406721,-87.60466460399999,DAYLIGHT,1.0
2021-05-04 11:52:00,41.733106015,-87.663136541,DAYLIGHT,1.0
2019-11-06 06:58:00,41.949989579000004,-87.74194752700001,DAYLIGHT,1.0
2020-12-23 14:06:00,41.769426236,-87.61658339,DAYLIGHT,1.0
2020-08-18 16:30:00,41.960722149,-87.73811471100001,DAYLIGHT,1.0
2022-01-15 14:40:00,41.976201139000004,-87.905309125,DAYLIGHT,1.0
2020-12-19 11:08:00,41.768636785,-87.664051379,DAYLIGHT,1.0
2018-09-06 10:05:00,41.865974195999996,-87.744903494,DAYLIGHT,1.0
2019-04-26 10:26:00,41.767612428,-87.676501995,DAYLIGHT,1.0
2018-07-16 18:50:00,41.939338049,-87.716397185,DAYLIGHT,1.0
2018-10-07 08:00:00,41.717383872,-87.531511285,DAYLIGHT,1.0
2017-11-15 09:56:00,41.805713248,-87.63066980200001,DAYLIGHT,1.0
2018-06-13 11:25:00,41.786485236,-87.67666544299999,DAYLIGHT,2.0
2015-10-30 15:01:00,41.77328568,-87.60218457200001,DAYLIGHT,1.0
2020-09-09 07:50:00,41.882339859,-87.67678798799999,DAYLIGHT,1.0
2017-11-01 08:20:00,41.767058743,-87.607454286,DAYLIGHT,1.0
2020-09-02 12:27:00,41.748731430999996,-87.643838892,DAYLIGHT,1.0
2017-09-07 16:28:00,41.919331329,-87.71179135,DAYLIGHT,1.0
2020-10-14 14:37:00,41.802543145,-87.645223156,DAYLIGHT,1.0
2021-06-26 12:10:00,41.663441617,-87.63051574200001,DAYLIGHT,1.0
2019-05-17 12:48:00,41.746804265,-87.64976918100001,DAYLIGHT,1.0
2022-02-27 01:15:00,41.909589793,-87.740215575,DAYLIGHT,1.0
2016-05-20 08:00:00,41.899404016,-87.69494543200001,DAYLIGHT,1.0
2022-05-04 07:20:00,41.882137205999996,-87.711190405,DAYLIGHT,1.0
2021-08-23 19:45:00,41.911972229,-87.663253772,DAYLIGHT,1.0
2020-06-17 12:53:00,41.897309163,-87.726074921,DAYLIGHT,1.0
2021-03-09 09:37:00,41.793942048000005,-87.774633215,DAYLIGHT,1.0
2020-07-28 08:03:00,41.856018967,-87.710243901,DAYLIGHT,1.0
2019-08-28 13:15:00,41.874813699,-87.686115185,DAYLIGHT,1.0
2022-04-28 14:12:00,41.89231009,-87.74586234700001,DAYLIGHT,1.0
2022-01-15 09:52:00,41.807688593,-87.729274123,DAYLIGHT,1.0
2019-06-10 07:30:00,41.849086136,-87.719657912,DAYLIGHT,1.0
2021-12-10 10:20:00,41.820498095,-87.66540648700001,DAYLIGHT,1.0
2019-08-31 15:41:00,41.924140635,-87.745529339,DAYLIGHT,1.0
2019-06-02 05:50:00,41.911450677,-87.63875047799999,DAYLIGHT,1.0
2019-08-01 09:03:00,41.935445037,-87.65513079200001,DAYLIGHT,1.0
2021-11-24 09:55:00,41.916951354,-87.736471987,DAYLIGHT,1.0
2018-07-03 13:45:00,41.801058342,-87.684074344,DAYLIGHT,1.0
2021-06-03 14:00:00,41.89033194,-87.711428482,DAYLIGHT,1.0
2020-01-31 15:12:00,41.770312965,-87.695305584,DAYLIGHT,1.0
2019-08-27 12:40:00,41.885323187,-87.72505787899999,DAYLIGHT,1.0
2018-10-14 10:25:00,41.815604951,-87.684215916,DAYLIGHT,1.0
2018-03-22 16:14:00,41.811303859,-87.663679781,DAYLIGHT,1.0
2019-06-24 18:41:00,41.733349857,-87.573347801,DAYLIGHT,1.0
2020-05-12 15:57:00,41.744224124,-87.592943446,DAYLIGHT,1.0
2019-06-30 12:00:00,41.715622164,-87.574198024,DAYLIGHT,1.0
2021-07-23 12:55:00,41.866049042,-87.73726114600001,DAYLIGHT,1.0
2021-10-31 09:24:00,41.721471285999996,-87.634438783,DAYLIGHT,1.0
2022-05-10 14:30:00,41.895924498,-87.669663839,DAYLIGHT,1.0
