Popularity
4.0
19.0
48.0
58.0
59.0
54.0
42.0
38.0
36.0
34.0
33.0
32.0
30.0
24.0
27.0
33.0
42.0
51.0
55.0
53.0
48.0
44.0
39.0
34.0
33.0
29.0
30.0
27.0
25.0
27.0
33.0
34.0
31.0
33.0
38.0
31.0
50.0
63.0
51.0
49.0
51.0
53.0
54.0
55.0
53.0
57.0
53.0
52.0
51.0
45.0
38.0
43.0
49.0
50.0
45.0
48.0
49.0
46.0
38.0
35.0
38.0
30.0
30.0
26.0
23.0
21.0
19.0
19.0
18.0
17.0
19.0
23.0
32.0
39.0
58.0
54.0
53.0
53.0
55.0
44.0
38.0
33.0
33.0
30.0
26.0
24.0
25.0
27.0
28.0
29.0
29.0
36.0
33.0
40.0
73.0
92.0
100.0
76.0
75.0
40.0
29.0
25.0
20.0
17.0
16.0
15.0
15.0
14.0
13.0
13.0
15.0
14.0
14.0
15.0
18.0
20.0
18.0
18.0
17.0
16.0
17.0
17.0
18.0
21.0
20.0
18.0
16.0
15.0
13.0
13.0
13.0
12.0
