CovidPopularity
37.6
42.5
30.6
38.25
50
33
28
34
48.8
53.25
53.2
43.75
48
39.25
26
18.25
28.25
54.6
37
26.4
30.5
59.5
64
19.5
14.25
14
17.8
16.75
18.6
13.5
12
