SteamPopularity
62
66.75
62.4
66.5
59.5
61.8
62.75
60.25
61.4
76.75
61
60.75
55
54.5
54.2
62.5
70
57.2
56
56
63.75
69.75
80
86.75
78.75
70.5
73.6
86.25
83.8
83.75
90
